,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
358,Jauja,-11.7758,-75.4966,50.32,83,100,3.27,PE,1638701771
359,Tres Palos,18.1833,-101.6167,69.6,84,9,2.98,MX,1638701771
360,Kaffrine,14.1059,-15.5508,92.35,10,95,14.7,SN,1638701771
361,Norman Wells,65.282,-126.8329,-38.16,60,20,3.44,CA,1638701771
362,Polyarny,69.1989,33.4478,4.69,93,45,14.09,RU,1638701771
363,Pochinki,54.6988,44.8668,29.64,72,81,5.21,RU,1638701772
364,Damietta,31.4165,31.8133,66.09,45,2,18.07,EG,1638701772
365,Dzaoudzi,-12.7887,45.2699,89.49,66,75,6.91,YT,1638701772
366,Divnogorsk,55.9594,92.3619,28.89,86,98,6.93,RU,1638701772
367,Yangi Marg`ilon,40.4272,71.7189,48.92,57,100,4.61,UZ,1638701772
368,Cayenne,4.9333,-52.3333,76.08,93,75,4.61,GF,1638701772
369,Mount Isa,-20.7333,139.5,91.17,25,90,19.57,AU,1638701772
370,Voskresenskoye,56.8381,45.4317,19.09,74,99,6.26,RU,1638701515
371,Nuuk,64.1835,-51.7216,29.88,92,100,20.0,GL,1638701728
372,Biskamzha,53.4497,89.5272,12.22,99,97,1.07,RU,1638701773
373,San Vicente,-26.6167,-54.1333,78.75,46,62,0.67,AR,1638701773
374,Half Moon Bay,37.4636,-122.4286,53.78,92,90,0.0,US,1638701773
375,Constitución,-35.3333,-72.4167,62.44,57,0,3.22,CL,1638701773
376,Kamaishi,39.2667,141.8833,36.55,69,13,4.99,JP,1638701773
377,Bilibino,68.0546,166.4372,-18.49,88,100,3.58,RU,1638701773
378,Ranau,5.9538,116.6641,72.25,98,100,1.63,MY,1638701774
379,Beaverlodge,55.2166,-119.4361,-4.65,90,98,4.72,CA,1638701774
380,Lappeenranta,61.0587,28.1887,3.25,77,20,10.36,FI,1638701774
381,Isla Vista,34.4133,-119.861,64.11,66,0,4.18,US,1638701774
382,Acapulco de Juárez,16.8634,-99.8901,75.6,72,0,3.65,MX,1638701774
383,Vila,42.0304,-8.1588,44.33,83,94,9.08,PT,1638701774
384,Smithers,54.7804,-127.1743,10.72,85,90,3.44,CA,1638701774
385,Safranbolu,41.2508,32.6942,55.02,67,59,1.1,TR,1638701774
386,Vidim,56.4088,103.1106,18.57,87,100,10.76,RU,1638701774
387,Yeppoon,-23.1333,150.7333,78.58,71,8,17.9,AU,1638701775
388,Deutschlandsberg,46.8153,15.2222,35.02,97,100,3.67,AT,1638701775
389,Alofi,-19.0595,-169.9187,78.69,89,65,4.61,NU,1638701775
390,Wewak,-3.5534,143.6268,81.45,85,100,7.16,PG,1638701775
391,Cepu,-7.1475,111.5906,78.03,85,98,9.1,ID,1638701775
392,Paragould,36.0584,-90.4973,55.24,75,0,4.32,US,1638701775
393,El Salvador,13.8333,-88.9167,62.62,94,3,3.56,SV,1638701775
394,Dubbo,-32.25,148.6167,62.73,67,60,23.02,AU,1638701776
395,San Jerónimo,-11.9472,-75.2829,51.71,82,100,1.28,PE,1638701776
396,Port-Gentil,-0.7193,8.7815,84.16,79,75,9.22,GA,1638701776
397,Bonthe,7.5264,-12.505,85.71,66,41,4.14,SL,1638701776
398,Kuril'sk,45.2333,147.8833,34.56,73,100,21.85,RU,1638701776
399,Lady Frere,-31.7031,27.2329,82.47,36,100,15.05,ZA,1638701776
400,Ust-Kuyga,70.0167,135.6,-21.35,98,100,3.78,RU,1638701776
401,Berdigestyakh,62.0989,126.6992,-5.08,100,99,0.54,RU,1638701705
402,Kavieng,-2.5744,150.7967,82.06,79,100,12.55,PG,1638701777
403,Leningradskiy,69.3833,178.4167,-3.23,100,100,7.38,RU,1638701777
404,Rutland,43.6167,-73.0162,32.45,82,47,2.1,US,1638701777
405,Amherstburg,42.1168,-83.0499,36.07,68,90,1.99,CA,1638701777
406,Hurghada,27.2574,33.8129,78.84,14,0,14.97,EG,1638701729
407,Kaili,-3.4626,120.2147,68.45,98,98,4.47,ID,1638701777
408,North Bend,43.4065,-124.2243,49.95,97,90,8.05,US,1638701777
409,Lakatoro,-16.0999,167.4164,79.83,76,0,12.8,VU,1638701778
410,Zacualtipán,20.65,-98.6,51.04,84,12,4.0,MX,1638701778
411,Grand Gaube,-20.0064,57.6608,84.6,64,6,10.0,MU,1638701778
412,Kattivākkam,13.2167,80.3167,87.89,83,3,7.56,IN,1638701778
413,Curvelo,-18.7564,-44.4308,73.56,71,6,5.93,BR,1638701778
414,Deniliquin,-35.5333,144.9667,70.5,31,19,4.63,AU,1638701778
415,Mergen,49.1833,125.2167,7.99,96,67,4.9,CN,1638701778
416,Wangqing,43.3218,129.7634,17.42,88,3,3.62,CN,1638701778
417,Sur,22.5667,59.5289,78.37,55,0,9.73,OM,1638701778
418,Garmsār,35.2182,52.3409,56.98,26,56,2.71,IR,1638701779
419,Iqaluit,63.7506,-68.5145,8.33,65,90,28.99,CA,1638701779
420,Grand Baie,-20.0182,57.5802,84.67,64,4,10.0,MU,1638701779
421,Mapiri,-15.25,-68.1667,67.73,99,100,0.92,BO,1638701779
422,Yuncheng,35.0231,110.9928,45.05,39,0,2.62,CN,1638701779
423,Issoire,45.55,3.25,40.26,70,93,11.68,FR,1638701654
424,Kigoma,-4.8769,29.6267,82.71,56,99,8.39,TZ,1638701779
425,Khovd,48.0056,91.6419,17.96,66,14,1.16,MN,1638701780
426,Alta,69.9689,23.2717,4.26,66,0,9.22,NO,1638701780
427,Freeport,40.6576,-73.5832,42.3,59,96,6.98,US,1638701780
428,Kinango,-4.1372,39.3153,86.11,42,62,10.78,KE,1638701780
429,Olinda,-8.0089,-34.8553,82.13,74,40,9.22,BR,1638701780
430,Māndal,25.45,74.5667,76.05,42,18,8.46,IN,1638701780
431,Jega,12.2175,4.3792,92.34,14,41,12.37,NG,1638701781
432,Masuguru,-11.3667,38.4167,93.42,41,100,5.5,TZ,1638701781
433,Inongo,-1.95,18.2667,78.6,71,84,1.59,CD,1638701781
434,Nyurba,63.2842,118.3319,-4.36,94,100,7.31,RU,1638701781
435,Calbuco,-41.768,-73.1273,52.81,81,0,16.13,CL,1638701781
436,Godalming,51.1846,-0.6173,43.99,80,90,20.71,GB,1638701781
437,Kaa-Khem,51.6833,94.7333,5.59,95,71,2.68,RU,1638701781
438,Naze,28.3667,129.4833,61.72,66,100,17.74,JP,1638701781
439,Hokitika,-42.7167,170.9667,59.95,94,89,7.05,NZ,1638701781
440,Grindavik,63.8424,-22.4338,41.47,75,90,50.64,IS,1638701782
441,San Fernando,15.0286,120.6898,80.62,71,42,9.24,PH,1638701782
442,Dingle,10.9995,122.6711,74.19,85,81,8.21,PH,1638701782
443,Krasnoobsk,54.9198,82.9909,30.34,88,100,13.76,RU,1638701782
444,Tadine,-21.55,167.8833,75.24,90,88,19.71,NC,1638701782
445,College,64.8569,-147.8028,-11.02,80,90,0.0,US,1638701782
446,Bāzpur,29.15,79.1167,74.88,53,29,0.38,IN,1638701782
447,Poronaysk,49.2167,143.1167,9.41,91,41,5.77,RU,1638701782
448,Athabasca,54.7169,-113.2854,-4.31,78,100,8.59,CA,1638701782
449,Jumla,29.2747,82.1838,50.49,61,8,5.06,NP,1638701783
450,Shahr-e Bābak,30.1165,55.1186,60.21,14,19,6.8,IR,1638701702
451,Asău,46.4333,26.4,42.96,60,100,1.92,RO,1638701783
452,Nemuro,43.3236,145.575,34.84,61,2,12.33,JP,1638701783
453,Rio Grande,-32.035,-52.0986,71.94,72,25,13.62,BR,1638701783
454,Nara,34.6851,135.8049,47.44,53,7,3.31,JP,1638701783
455,Touros,-5.1989,-35.4608,83.3,68,44,15.64,BR,1638701783
456,Meulaboh,4.1363,96.1285,81.1,76,94,2.66,ID,1638701783
457,Neuquén,-38.9516,-68.0591,60.69,82,0,4.61,AR,1638701783
458,Kuching,1.55,110.3333,77.22,100,40,0.0,MY,1638701549
459,Yaan,7.3833,8.5667,96.04,17,56,8.34,NG,1638701784
460,Stornoway,58.2093,-6.3865,39.16,78,75,5.75,GB,1638701731
461,Kushima,31.4583,131.2333,50.04,76,25,6.13,JP,1638701784
462,Pishin,30.5803,66.9961,55.4,34,5,7.2,PK,1638701784
463,Soure,-0.7167,-48.5233,80.06,84,41,9.37,BR,1638701784
464,Hambantota,6.1241,81.1185,84.54,89,40,9.22,LK,1638701784
465,Mezen',65.8522,44.24,12.49,92,15,5.84,RU,1638701727
466,Vaasa,63.096,21.6158,8.94,84,0,1.14,FI,1638701784
467,Nantucket,41.2835,-70.0995,40.96,67,99,15.43,US,1638701785
468,Port Elizabeth,-33.918,25.5701,75.09,88,75,17.27,ZA,1638701785
469,Nefteyugansk,61.0998,72.6035,-1.95,94,100,11.43,RU,1638701785
470,Mackenzie,55.2999,-123.1698,8.82,92,75,0.0,CA,1638701785
471,Porto Santo,33.072,-16.3415,66.58,72,40,11.5,PT,1638701785
472,Westport,41.1415,-73.3579,40.98,67,99,3.0,US,1638701785
473,Moindou,-21.6924,165.677,73.35,75,19,7.36,NC,1638701785
474,Sijunjung,-0.6876,100.9537,74.19,97,100,1.21,ID,1638701786
475,Oktyabr'skoye,43.0645,44.7417,51.94,43,89,2.24,RU,1638701786
476,Bétérou,9.1992,2.2586,94.66,12,100,5.06,BJ,1638701786
477,Sola,-13.8833,167.55,80.29,78,79,13.85,VU,1638701786
478,Iquique,-20.2208,-70.1431,62.64,67,70,3.33,CL,1638701786
479,Mahibadhoo,3.7833,72.9667,82.89,71,25,14.38,MV,1638701786
480,Tual,-5.6667,132.75,82.89,78,100,18.21,ID,1638701786
481,San Rafael,-34.6177,-68.3301,61.75,73,41,0.18,AR,1638701787
482,Nizwá,22.9333,57.5333,79.21,33,1,5.88,OM,1638701787
483,Susanville,40.4163,-120.653,28.24,80,1,0.0,US,1638701787
484,Ternate,0.8,127.4,81.59,79,100,9.89,ID,1638701580
485,Durban,-29.8579,31.0292,83.93,80,94,5.01,ZA,1638701689
486,Turukhansk,65.8167,87.9833,-39.69,100,32,4.32,RU,1638701787
487,Arrecife,28.963,-13.5477,67.98,64,20,19.57,ES,1638701787
488,São João da Barra,-21.6403,-41.0511,77.09,79,1,4.45,BR,1638701787
489,Smirnykh,49.75,142.8333,9.09,95,52,3.49,RU,1638701787
490,Bairiki Village,1.3292,172.9752,80.6,89,75,8.05,KI,1638701787
491,Gabú,12.2833,-14.2167,91.49,32,21,1.92,GW,1638701788
492,Kedrovyy,56.1667,91.8167,27.01,82,98,8.3,RU,1638701788
493,Sungai Penuh,-2.0833,101.3833,66.4,97,100,1.61,ID,1638701788
494,Kargasok,59.0556,80.8572,32.74,97,100,15.14,RU,1638701788
495,Lumeje,-11.55,20.7833,86.32,44,96,2.95,AO,1638701788
496,São José da Coroa Grande,-8.8978,-35.1478,81.97,73,75,11.61,BR,1638701788
497,Hay River,60.8156,-115.7999,-20.22,69,20,5.75,CA,1638701788
498,Buritizeiro,-17.3511,-44.9622,76.35,70,8,7.27,BR,1638701788
499,Sharan,54.8167,54.0,27.55,87,95,6.82,RU,1638701789
500,Laiyang,36.9758,120.7136,44.2,71,0,6.08,CN,1638701789
501,Elko,41.0002,-115.5012,42.64,44,41,15.99,US,1638701789
502,Sørland,67.667,12.6934,21.27,63,25,9.84,NO,1638701789
503,Oussouye,12.485,-16.5469,78.98,33,56,2.37,SN,1638701789
504,Tazmalt,36.3868,4.3989,55.74,67,68,11.45,DZ,1638701789
505,Katangli,51.7102,143.2326,18.07,80,30,17.4,RU,1638701789
506,Henties Bay,-22.116,14.2845,64.85,62,0,13.76,NA,1638701789
507,Te Anau,-45.4167,167.7167,43.41,97,100,3.22,NZ,1638701790
508,Fleetwood,53.9253,-3.0109,43.63,75,20,14.97,GB,1638701671
509,Sidrolândia,-20.9319,-54.9614,79.59,50,82,6.24,BR,1638701790
510,Sitniki,56.4553,44.0666,24.78,78,100,4.97,RU,1638701790
511,Mogadishu,2.0371,45.3438,85.87,74,20,20.71,SO,1638701790
512,San Matías,-16.3667,-58.4,78.31,89,100,2.75,BO,1638701790
513,Nanpiao,41.0982,120.7479,37.42,56,2,5.97,CN,1638701790
514,Margate,51.3813,1.3862,43.7,86,96,5.01,GB,1638701790
515,Vredendal,-31.6683,18.5012,66.06,65,94,5.61,ZA,1638701790
516,Evensk,61.95,159.2333,-11.15,75,27,8.93,RU,1638701791
517,Linxia Chengguanzhen,35.6003,103.2064,31.44,55,31,2.84,CN,1638701791
518,Dubno,50.4169,25.7343,31.89,80,100,7.43,UA,1638701791
519,Ketchikan,55.3422,-131.6461,26.58,88,81,3.51,US,1638701791
520,Teguise,29.0605,-13.564,64.62,64,20,19.57,ES,1638701791
521,Ossora,59.2353,163.0719,12.43,83,100,6.69,RU,1638701791
522,Gravdal,68.1214,13.5031,21.09,63,0,5.75,NO,1638701791
523,Sagua de Tánamo,20.5819,-75.2414,71.98,95,89,3.78,CU,1638701791
524,Magsaysay,6.7667,125.1833,77.77,91,100,1.63,PH,1638701791
525,Kandrian,-6.2167,149.55,78.04,86,100,4.09,PG,1638701792
526,Āsosa,10.0667,34.5333,87.21,17,0,2.8,ET,1638701792
527,Ardee,53.8597,-6.5406,41.65,85,6,7.56,IE,1638701557
528,Wajid,3.8093,43.2471,90.7,28,11,12.53,SO,1638701792
529,Olafsvik,64.8945,-23.7142,39.97,82,100,49.86,IS,1638701792
530,Rognan,67.0953,15.3878,18.88,87,3,10.51,NO,1638701792
531,Shelabolikha,53.4131,82.6167,29.66,92,100,7.47,RU,1638701792
532,Juneau,58.3019,-134.4197,24.22,93,95,4.7,US,1638701792
533,Fort Portal,0.6617,30.2748,78.57,47,98,3.51,UG,1638701793
534,Lebyazh'ye,55.2689,66.4947,30.42,84,98,15.32,RU,1638701793
535,Worland,44.0169,-107.9554,49.35,43,100,5.14,US,1638701793
536,Coquimbo,-29.9533,-71.3436,56.93,94,90,2.3,CL,1638701734
537,Limbang,4.75,115.0,84.51,90,97,3.0,MY,1638701793
538,Kalanchak,46.2562,33.2907,39.97,68,84,2.33,UA,1638701619
539,Acarí,-15.4311,-74.6158,69.69,84,100,3.2,PE,1638701793
540,Sault Ste. Marie,46.5168,-84.3333,26.89,83,75,4.61,CA,1638701793
541,Tuensang,26.2833,94.8333,62.33,92,49,1.14,IN,1638701793
542,Bulgan,48.8125,103.5347,20.5,48,1,4.0,MN,1638701794
543,Komatsu,36.4026,136.4509,40.24,75,20,2.3,JP,1638701794
544,Ulefoss,59.2838,9.2646,26.13,84,59,4.45,NO,1638701794
